,Date,DateFloat,FutureValue
0,2019-01-28 23:09:55.662178,1.548716995662178e+18,40.442539248411876
1,2019-01-29 23:09:55.662178,1.548803395662178e+18,40.44383906650283
2,2019-01-30 23:09:55.662178,1.548889795662178e+18,40.44513888459378
3,2019-01-31 23:09:55.662178,1.548976195662178e+18,40.44643870268473
4,2019-02-01 23:09:55.662178,1.549062595662178e+18,40.44773852077569
5,2019-02-02 23:09:55.662178,1.549148995662178e+18,40.44903833886664
6,2019-02-03 23:09:55.662178,1.549235395662178e+18,40.45033815695759
7,2019-02-04 23:09:55.662178,1.549321795662178e+18,40.45163797504854
8,2019-02-05 23:09:55.662178,1.549408195662178e+18,40.4529377931395
9,2019-02-06 23:09:55.662178,1.549494595662178e+18,40.454237611230454
10,2019-02-07 23:09:55.662178,1.549580995662178e+18,40.4555374293214
11,2019-02-08 23:09:55.662178,1.549667395662178e+18,40.45683724741235
12,2019-02-09 23:09:55.662178,1.549753795662178e+18,40.45813706550331
13,2019-02-10 23:09:55.662178,1.549840195662178e+18,40.45943688359426
14,2019-02-11 23:09:55.662178,1.549926595662178e+18,40.46073670168521
15,2019-02-12 23:09:55.662178,1.550012995662178e+18,40.46203651977616
16,2019-02-13 23:09:55.662178,1.550099395662178e+18,40.46333633786712
17,2019-02-14 23:09:55.662178,1.550185795662178e+18,40.46463615595807
18,2019-02-15 23:09:55.662178,1.550272195662178e+18,40.46593597404902
19,2019-02-16 23:09:55.662178,1.550358595662178e+18,40.467235792139974
20,2019-02-17 23:09:55.662178,1.550444995662178e+18,40.46853561023093
21,2019-02-18 23:09:55.662178,1.550531395662178e+18,40.46983542832187
22,2019-02-19 23:09:55.662178,1.550617795662178e+18,40.47113524641283
23,2019-02-20 23:09:55.662178,1.550704195662178e+18,40.472435064503784
24,2019-02-21 23:09:55.662178,1.550790595662178e+18,40.473734882594734
25,2019-02-22 23:09:55.662178,1.550876995662178e+18,40.47503470068568
26,2019-02-23 23:09:55.662178,1.550963395662178e+18,40.47633451877664
27,2019-02-24 23:09:55.662178,1.551049795662178e+18,40.477634336867595
28,2019-02-25 23:09:55.662178,1.551136195662178e+18,40.478934154958544
29,2019-02-26 23:09:55.662178,1.551222595662178e+18,40.480233973049494
30,2019-02-27 23:09:55.662178,1.551308995662178e+18,40.48153379114045
31,2019-02-28 23:09:55.662178,1.551395395662178e+18,40.4828336092314
32,2019-03-01 23:09:55.662178,1.551481795662178e+18,40.48413342732235
33,2019-03-02 23:09:55.662178,1.551568195662178e+18,40.485433245413304
34,2019-03-03 23:09:55.662178,1.551654595662178e+18,40.48673306350426
35,2019-03-04 23:09:55.662178,1.551740995662178e+18,40.48803288159521
36,2019-03-05 23:09:55.662178,1.551827395662178e+18,40.48933269968616
37,2019-03-06 23:09:55.662178,1.551913795662178e+18,40.490632517777115
38,2019-03-07 23:09:55.662178,1.552000195662178e+18,40.49193233586807
39,2019-03-08 23:09:55.662178,1.552086595662178e+18,40.49323215395902
40,2019-03-09 23:09:55.662178,1.552172995662178e+18,40.49453197204997
41,2019-03-10 23:09:55.662178,1.552259395662178e+18,40.495831790140926
42,2019-03-11 23:09:55.662178,1.552345795662178e+18,40.497131608231875
43,2019-03-12 23:09:55.662178,1.552432195662178e+18,40.498431426322824
44,2019-03-13 23:09:55.662178,1.552518595662178e+18,40.49973124441378
45,2019-03-14 23:09:55.662178,1.552604995662178e+18,40.50103106250474
46,2019-03-15 23:09:55.662178,1.552691395662178e+18,40.502330880595686
47,2019-03-16 23:09:55.662178,1.552777795662178e+18,40.503630698686635
48,2019-03-17 23:09:55.662178,1.552864195662178e+18,40.50493051677759
49,2019-03-18 23:09:55.662178,1.552950595662178e+18,40.50623033486855
50,2019-03-19 23:09:55.662178,1.553036995662178e+18,40.5075301529595
51,2019-03-20 23:09:55.662178,1.553123395662178e+18,40.508829971050446
52,2019-03-21 23:09:55.662178,1.553209795662178e+18,40.5101297891414
53,2019-03-22 23:09:55.662178,1.553296195662178e+18,40.51142960723235
54,2019-03-23 23:09:55.662178,1.553382595662178e+18,40.5127294253233
55,2019-03-24 23:09:55.662178,1.553468995662178e+18,40.51402924341426
56,2019-03-25 23:09:55.662178,1.553555395662178e+18,40.51532906150521
57,2019-03-26 23:09:55.662178,1.553641795662178e+18,40.51662887959616
58,2019-03-27 23:09:55.662178,1.553728195662178e+18,40.51792869768711
59,2019-03-28 23:09:55.662178,1.553814595662178e+18,40.51922851577807
60,2019-03-29 23:09:55.662178,1.553900995662178e+18,40.520528333869024
61,2019-03-30 23:09:55.662178,1.553987395662178e+18,40.521828151959966
62,2019-03-31 23:09:55.662178,1.554073795662178e+18,40.52312797005092
63,2019-04-01 23:09:55.662178,1.554160195662178e+18,40.52442778814188
64,2019-04-02 23:09:55.662178,1.554246595662178e+18,40.52572760623283
65,2019-04-03 23:09:55.662178,1.554332995662178e+18,40.52702742432378
66,2019-04-04 23:09:55.662178,1.554419395662178e+18,40.52832724241473
67,2019-04-05 23:09:55.662178,1.554505795662178e+18,40.52962706050569
68,2019-04-06 23:09:55.662178,1.554592195662178e+18,40.53092687859664
69,2019-04-07 23:09:55.662178,1.554678595662178e+18,40.53222669668759
70,2019-04-08 23:09:55.662178,1.554764995662178e+18,40.53352651477854
71,2019-04-09 23:09:55.662178,1.554851395662178e+18,40.53482633286949
72,2019-04-10 23:09:55.662178,1.554937795662178e+18,40.53612615096044
73,2019-04-11 23:09:55.662178,1.555024195662178e+18,40.5374259690514
74,2019-04-12 23:09:55.662178,1.555110595662178e+18,40.538725787142354
