,Date,DateFloat,FutureValue
0,2019-01-28 23:09:55.587497,1.548716995587497e+18,254.2070287289083
1,2019-01-29 23:09:55.587497,1.548803395587497e+18,254.2577116179325
2,2019-01-30 23:09:55.587497,1.548889795587497e+18,254.3083945069568
3,2019-01-31 23:09:55.587497,1.548976195587497e+18,254.359077395981
4,2019-02-01 23:09:55.587497,1.549062595587497e+18,254.4097602850053
5,2019-02-02 23:09:55.587497,1.549148995587497e+18,254.46044317402948
6,2019-02-03 23:09:55.587497,1.549235395587497e+18,254.51112606305367
7,2019-02-04 23:09:55.587497,1.549321795587497e+18,254.56180895207797
8,2019-02-05 23:09:55.587497,1.549408195587497e+18,254.61249184110216
9,2019-02-06 23:09:55.587497,1.549494595587497e+18,254.66317473012646
10,2019-02-07 23:09:55.587497,1.549580995587497e+18,254.71385761915064
11,2019-02-08 23:09:55.587497,1.549667395587497e+18,254.76454050817495
12,2019-02-09 23:09:55.587497,1.549753795587497e+18,254.81522339719913
13,2019-02-10 23:09:55.587497,1.549840195587497e+18,254.86590628622344
14,2019-02-11 23:09:55.587497,1.549926595587497e+18,254.91658917524762
15,2019-02-12 23:09:55.587497,1.550012995587497e+18,254.96727206427192
16,2019-02-13 23:09:55.587497,1.550099395587497e+18,255.0179549532961
17,2019-02-14 23:09:55.587497,1.550185795587497e+18,255.0686378423203
18,2019-02-15 23:09:55.587497,1.550272195587497e+18,255.1193207313446
19,2019-02-16 23:09:55.587497,1.550358595587497e+18,255.1700036203688
20,2019-02-17 23:09:55.587497,1.550444995587497e+18,255.2206865093931
21,2019-02-18 23:09:55.587497,1.550531395587497e+18,255.27136939841728
22,2019-02-19 23:09:55.587497,1.550617795587497e+18,255.32205228744158
23,2019-02-20 23:09:55.587497,1.550704195587497e+18,255.37273517646577
24,2019-02-21 23:09:55.587497,1.550790595587497e+18,255.42341806549007
25,2019-02-22 23:09:55.587497,1.550876995587497e+18,255.47410095451426
26,2019-02-23 23:09:55.587497,1.550963395587497e+18,255.52478384353844
27,2019-02-24 23:09:55.587497,1.551049795587497e+18,255.57546673256275
28,2019-02-25 23:09:55.587497,1.551136195587497e+18,255.62614962158693
29,2019-02-26 23:09:55.587497,1.551222595587497e+18,255.67683251061123
30,2019-02-27 23:09:55.587497,1.551308995587497e+18,255.72751539963542
31,2019-02-28 23:09:55.587497,1.551395395587497e+18,255.77819828865972
32,2019-03-01 23:09:55.587497,1.551481795587497e+18,255.8288811776839
33,2019-03-02 23:09:55.587497,1.551568195587497e+18,255.8795640667082
34,2019-03-03 23:09:55.587497,1.551654595587497e+18,255.9302469557324
35,2019-03-04 23:09:55.587497,1.551740995587497e+18,255.9809298447566
36,2019-03-05 23:09:55.587497,1.551827395587497e+18,256.0316127337809
37,2019-03-06 23:09:55.587497,1.551913795587497e+18,256.0822956228051
38,2019-03-07 23:09:55.587497,1.552000195587497e+18,256.1329785118294
