VTI
VOO
VEA
VWO
VTV
VUG
BND
VIG
VNQ
VO
VB
VYM
VCSH
VEU
VCIT
BSV
VGT
BNDX
VV
VGK
VBR
VT
VXUS
BIV
VOE
VBK
VHT
VMBS
VFH
VXF
VOT
VTIP
VNQI
VSS
VDC
VGSH
MGK
VPL
VGIT
VPU
VDE
VCLT
VIS
VCR
BLV
VONG
VOOG
MGV
VAW
VOX
VBK
VHT
VMBS
VFH
VXF
VOT
VTIP
VNQI
VSS
VDC
VGSH
MGK
VPL
VGIT
VPU
VDE
VCLT
VIS
VCR
BLV
VONG
VOOG
MGV
VAW
VOX
